CustomerID,Recency,Frequency,Monetary,UniqueProducts,AverageOrderValue,MonthlySpending,Products_Per_Order,PurchaseInterval,Is_UK,Weekend_Ratio,Outlier_Label
12349,19,1,1457.55,72,1457.55,1457.55,72.0,0.0,0,0.0,-1
12354,233,1,1079.4,58,1079.4,1079.4,58.0,0.0,0,0.0,-1
12357,34,1,6207.67,131,6207.67,6207.67,131.0,0.0,0,1.0,-1
12359,58,4,6310.03,214,1577.5075,690.879197080292,53.5,91.33333333333333,0,0.0,-1
12371,60,1,1527.96,62,1527.96,1527.96,62.0,0.0,0,0.0,-1
12377,316,2,1548.1200000000001,71,774.0600000000001,1190.8615384615384,35.5,39.0,0,0.0,-1
12378,130,1,4008.62,219,4008.62,4008.62,219.0,0.0,0,0.0,-1
12398,46,1,1435.66,84,1435.66,1435.66,84.0,0.0,0,0.0,-1
12405,149,1,1390.39,53,1390.39,1390.39,53.0,0.0,0,0.0,-1
12406,23,2,3415.3,92,1707.65,636.3913043478261,46.0,161.0,0,0.0,-1
12409,79,3,11072.67,91,3690.89,3194.039423076923,30.333333333333332,52.0,0,0.0,-1
12415,25,19,124405.88,443,6547.677894736842,11923.886261980831,23.31578947368421,17.38888888888889,0,0.0,-1
12428,26,8,6405.26,256,800.6575,744.7976744186047,32.0,36.857142857142854,0,0.0313588850174216,-1
12433,1,7,13375.87,219,1910.8385714285716,1075.8072386058982,31.285714285714285,62.166666666666664,0,0.0,-1
12435,80,2,7829.89,31,3914.945,1249.4505319148936,15.5,188.0,0,0.0,-1
12447,244,1,431.49,25,431.49,431.49,25.0,0.0,0,1.0,-1
12451,11,5,8995.52,264,1799.104,859.4445859872612,52.8,78.5,0,0.0,-1
12454,57,1,3528.34,15,3528.34,3528.34,15.0,0.0,0,0.0,-1
12471,3,27,17388.65,148,644.0240740740742,1441.0483425414366,5.481481481481482,13.923076923076923,0,0.0,-1
12472,33,7,6068.11,218,866.8728571428571,540.1878338278932,31.142857142857142,56.166666666666664,0,0.33433734939759036,-1
12474,18,18,6694.09,252,371.8938888888889,643.6625,14.0,18.352941176470587,0,0.0024630541871921183,-1
12477,23,6,13219.74,191,2203.29,1421.4774193548385,31.833333333333332,55.8,0,0.0,-1
12484,36,4,3939.32,255,984.83,392.6232558139535,63.75,100.33333333333333,0,0.35398230088495575,-1
12501,337,1,2025.39,148,2025.39,2025.39,148.0,0.0,0,0.0,-1
12514,268,1,1017.6800000000001,51,1017.6800000000001,1017.6800000000001,51.0,0.0,0,0.0,-1
12536,60,1,4279.71,259,4279.71,4279.71,259.0,0.0,0,0.0,-1
12539,23,4,5568.35,157,1392.0875,537.1398713826367,39.25,103.66666666666667,0,0.0,-1
12540,20,17,11580.24,276,681.1905882352941,1015.8105263157894,16.235294117647058,21.375,0,0.05639913232104121,-1
12557,17,5,11990.960000000001,15,2398.192,1013.3205633802817,3.0,88.75,0,0.0,-1
12560,6,2,1918.01,90,959.005,416.95869565217396,45.0,138.0,0,0.2621359223300971,-1
12567,23,9,8322.94,322,924.7711111111112,719.5625360230548,35.77777777777778,43.375,0,0.34441805225653205,-1
12569,3,32,3152.69,91,98.5215625,378.3228,2.84375,8.064516129032258,0,0.050955414012738856,-1
12578,22,2,2402.51,110,1201.255,233.25339805825243,55.0,309.0,0,0.0,-1
12590,212,1,9341.26,67,9341.26,9341.26,67.0,0.0,0,0.0,-1
12597,20,4,3195.22,183,798.805,384.9662650602409,45.75,83.0,0,0.6237623762376238,-1
12607,61,1,1579.51,101,1579.51,1579.51,101.0,0.0,0,0.0,-1
12621,2,20,12411.67,260,620.5835,1022.9398351648352,13.0,19.157894736842106,0,0.0,-1
12625,212,2,2413.82,72,1206.91,670.5055555555556,36.0,108.0,0,0.0,-1
12635,90,2,1509.18,95,754.59,696.5446153846154,47.5,65.0,0,0.6060606060606061,-1
12638,34,1,511.69,38,511.69,511.69,38.0,0.0,0,1.0,-1
12651,335,1,114.0,9,114.0,114.0,9.0,0.0,0,1.0,-1
12673,6,2,574.52,41,287.26,53.69345794392524,20.5,321.0,0,0.43902439024390244,-1
12678,43,9,16331.46,103,1814.6066666666666,1575.3819935691317,11.444444444444445,38.875,0,0.10897435897435898,-1
12681,15,22,12365.54,266,562.07,1050.8957507082152,12.090909090909092,16.80952380952381,0,0.12012987012987013,-1
12682,4,31,11019.82,208,355.478064516129,898.3548913043477,6.709677419354839,12.266666666666667,0,0.01818181818181818,-1
12688,114,1,4873.81,171,4873.81,4873.81,171.0,0.0,0,0.0,-1
12700,8,4,4525.99,192,1131.4975,652.7870192307691,48.0,69.33333333333333,0,0.23106060606060605,-1
12705,16,8,6382.29,227,797.78625,559.85,28.375,48.857142857142854,0,0.15853658536585366,-1
12709,16,15,9400.52,92,626.7013333333333,803.463247863248,6.133333333333334,25.071428571428573,0,0.09405940594059406,-1
12720,3,25,5115.73,210,204.62919999999997,418.17956403269756,8.4,15.291666666666666,0,0.1023391812865497,-1
12731,24,12,18751.91,108,1562.6591666666666,1649.7281524926686,9.0,31.0,0,0.0,-1
12744,57,4,9120.39,177,2280.0975,1044.319465648855,44.25,87.33333333333333,0,0.0,-1
12748,1,204,31369.14,1759,153.77029411764707,2522.987131367292,8.622549019607844,1.8374384236453203,1,0.15433936340737348,-1
12752,82,1,4366.78,53,4366.78,4366.78,53.0,0.0,0,0.0,-1
12753,23,6,21429.39,132,3571.565,1890.8285294117645,22.0,68.0,0,0.2436548223350254,-1
12754,236,3,3010.74,49,1003.5799999999999,1237.2904109589042,16.333333333333332,36.5,0,0.0,-1
12755,281,2,3811.9500000000003,4,1905.9750000000001,1345.394117647059,2.0,85.0,0,0.0,-1
12758,117,2,2791.59,84,1395.795,523.423125,42.0,160.0,0,0.0,-1
12763,139,2,494.08,16,247.04,64.16623376623376,8.0,231.0,0,1.0,-1
12764,317,1,1693.88,45,1693.88,1693.88,45.0,0.0,0,0.0,-1
12766,4,7,6457.63,204,922.5185714285715,533.6884297520661,29.142857142857142,60.5,0,0.1111111111111111,-1
12770,211,1,1351.45,12,1351.45,1351.45,12.0,0.0,0,0.0,-1
12798,11,3,6977.04,6,2325.68,1308.1950000000002,2.0,80.0,0,0.0,-1
12818,262,1,1182.0800000000002,13,1182.0800000000002,1182.0800000000002,13.0,0.0,0,0.0,-1
12901,9,27,17348.54,30,642.5385185185186,1986.474045801527,1.1111111111111112,10.076923076923077,1,0.008695652173913044,-1
12921,10,37,16587.09,233,448.29972972972973,1367.0678571428573,6.297297297297297,10.11111111111111,1,0.05555555555555555,-1
12931,22,15,42055.96,28,2803.730666666667,3754.9964285714286,1.8666666666666667,24.0,1,0.0,-1
12939,65,8,11581.8,21,1447.725,1286.8666666666666,2.625,38.57142857142857,1,0.23404255319148937,-1
12965,90,1,769.8100000000001,108,769.8100000000001,769.8100000000001,108.0,0.0,1,1.0,-1
12971,4,85,10969.76,93,129.056,891.8504065040651,1.0941176470588236,4.392857142857143,1,0.05921052631578947,-1
12988,293,1,505.82,75,505.82,505.82,75.0,0.0,1,1.0,-1
13018,17,28,7277.7,313,259.91785714285714,782.5483870967741,11.178571428571429,10.333333333333334,1,0.1943231441048035,-1
13081,12,11,28337.38,503,2576.1254545454544,2361.4483333333333,45.72727272727273,36.0,1,0.0,-1
13089,3,97,58762.08,636,605.7946391752578,4803.439782016349,6.556701030927835,3.8229166666666665,1,0.05733186328555678,-1
13093,276,8,7832.47,97,979.05875,2397.694897959184,12.125,14.0,1,0.0,-1
13098,2,28,28882.44,156,1031.5157142857142,2742.003797468354,5.571428571428571,11.703703703703704,1,0.012237762237762238,-1
13135,197,1,3096.0,1,3096.0,3096.0,1.0,0.0,1,0.0,-1
13174,17,3,2738.82,227,912.94,232.76090651558073,75.66666666666667,176.5,1,0.5205479452054794,-1
13263,2,34,7411.71,448,217.9914705882353,686.2694444444444,13.176470588235293,9.818181818181818,1,0.06618531889290012,-1
13319,6,26,10845.550000000001,209,417.1365384615385,903.7958333333335,8.038461538461538,14.4,1,0.018907563025210083,-1
13340,46,7,10736.48,128,1533.782857142857,1394.3480519480518,18.285714285714285,38.5,1,0.1865671641791045,-1
13357,258,1,609.4,85,609.4,609.4,85.0,0.0,1,1.0,-1
13408,2,62,28117.04,234,453.5006451612903,2267.5032258064516,3.774193548387097,6.098360655737705,1,0.1903765690376569,-1
13422,65,1,2626.3,127,2626.3,2626.3,127.0,0.0,1,0.0,-1
13471,2,4,2501.84,214,625.46,1631.6347826086956,53.5,15.333333333333334,1,0.8503937007874016,-1
13501,289,1,1340.32,52,1340.32,1340.32,52.0,0.0,0,0.0,-1
13521,2,3,1070.47,312,356.8233333333333,1070.47,104.0,4.5,1,0.28776978417266186,-1
13607,41,1,675.51,93,675.51,675.51,93.0,0.0,1,1.0,-1
13668,3,21,6309.83,284,300.46809523809526,525.8191666666667,13.523809523809524,18.0,1,0.28725701943844495,-1
13694,4,50,65039.62,366,1300.7924,5273.482702702702,7.32,7.551020408163265,1,0.01232394366197183,-1
13736,6,2,729.8,166,364.9,85.85882352941177,83.0,255.0,1,0.6,-1
13767,3,37,17187.91,54,464.5381081081081,1389.8579514824796,1.4594594594594594,10.305555555555555,1,0.1008174386920981,-1
13777,1,33,25977.16,36,787.1866666666666,2089.31581769437,1.0909090909090908,11.65625,1,0.025380710659898477,-1
13798,2,57,36910.49,113,647.5524561403508,2984.675741239892,1.9824561403508771,6.625,1,0.15517241379310345,-1
13881,4,20,17159.52,72,857.976,1671.381818181818,3.6,16.210526315789473,1,0.0,-1
13952,218,2,3251.071,120,1625.5355,3251.071,60.0,21.0,1,0.0,-1
14016,162,4,4291.21,153,1072.8025,656.8178571428572,38.25,65.33333333333333,0,0.0,-1
14049,17,4,5578.72,348,1394.68,556.0186046511628,87.0,100.33333333333333,1,0.0,-1
14051,1,23,15610.390000000001,52,678.7126086956522,1279.5401639344263,2.260869565217391,16.636363636363637,1,0.10952380952380952,-1
14056,2,23,8152.71,320,354.46565217391304,864.2448763250883,13.91304347826087,12.863636363636363,1,0.0,-1
14088,11,13,50491.81,379,3883.9853846153846,4854.98173076923,29.153846153846153,26.0,1,0.16298811544991512,-1
14096,5,17,53258.43,1118,3132.8488235294117,16471.6793814433,65.76470588235294,6.0625,1,0.0,-1
14156,10,54,116415.08,713,2155.8348148148148,9647.658563535912,13.203703703703704,6.830188679245283,0,0.03548153511947864,-1
14159,20,11,4627.98,500,420.7254545454545,404.77959183673465,45.45454545454545,34.3,1,0.41141396933560476,-1
14194,5,21,11349.52,269,540.4533333333334,1120.0184210526318,12.80952380952381,15.2,1,0.06390328151986183,-1
14277,16,3,4152.0,194,1384.0,632.2842639593908,64.66666666666667,98.5,0,0.0,-1
14286,24,3,4628.75,220,1542.9166666666667,634.0753424657535,73.33333333333333,109.5,1,0.0,-1
14298,9,44,51527.3,884,1171.075,4391.531250000001,20.09090909090909,8.186046511627907,1,0.0,-1
14382,27,1,615.49,121,615.49,615.49,121.0,0.0,1,1.0,-1
14432,10,6,2248.5,256,374.75,843.1875,42.666666666666664,16.0,1,0.9496021220159151,-1
14439,320,1,2661.24,32,2661.24,2661.24,32.0,0.0,0,0.0,-1
14456,6,9,3014.32,579,334.9244444444445,660.0700729927008,64.33333333333333,17.125,1,0.6031746031746031,-1
14502,20,11,2426.79,367,220.61727272727273,247.6316326530612,33.36363636363637,29.4,1,0.8319604612850082,-1
14505,18,8,5859.43,540,732.42875,509.51565217391305,67.5,49.285714285714285,1,0.16942675159235668,-1
14527,3,55,8506.13,329,154.65690909090907,695.3239782016349,5.9818181818181815,6.796296296296297,1,0.050515463917525774,-1
14547,4,8,3974.75,198,496.84375,2338.0882352941176,24.75,7.285714285714286,1,0.8619718309859155,-1
14566,111,1,1432.0,4,1432.0,1432.0,4.0,0.0,0,1.0,-1
14606,2,90,11919.4,816,132.43777777777777,961.2419354838709,9.066666666666666,4.179775280898877,1,0.1396480718831898,-1
14646,2,72,279138.02,699,3876.9169444444447,23722.77790368272,9.708333333333334,4.971830985915493,0,0.02524271844660194,-1
14667,11,25,9170.79,353,366.83160000000004,768.5019553072626,14.12,14.916666666666666,1,0.05830388692579505,-1
14680,26,16,28754.11,73,1797.131875,2493.1309248554912,4.5625,23.066666666666666,1,0.0,-1
14769,3,8,10415.33,717,1301.91625,880.1687323943662,89.625,50.714285714285715,1,0.8746465598491989,-1
14796,2,17,7959.03,402,468.17823529411766,654.1668493150685,23.647058823529413,22.8125,1,0.0,-1
14895,8,20,11138.710000000001,273,556.9355,1180.7819787985866,13.65,14.894736842105264,1,0.20481927710843373,-1
14911,2,196,131793.23,1785,672.4144387755102,10628.48629032258,9.107142857142858,1.9076923076923078,0,0.07259953161592506,-1
14935,298,1,1784.71,10,1784.71,1784.71,10.0,0.0,0,0.0,-1
14936,34,8,8137.02,210,1017.1275,1008.7214876033058,26.25,34.57142857142857,0,0.17582417582417584,-1
15004,148,1,1220.38,153,1220.38,1220.38,153.0,0.0,1,0.0,-1
15005,16,28,6286.72,359,224.5257142857143,537.3264957264958,12.821428571428571,13.0,1,0.10810810810810811,-1
15039,10,47,19695.19,407,419.0465957446808,1645.8376044568245,8.659574468085106,7.804347826086956,1,0.0,-1
15061,4,48,54534.14,70,1136.1279166666666,4433.669918699186,1.4583333333333333,7.851063829787234,1,0.01240694789081886,-1
15098,183,2,39619.5,1,19809.75,39619.5,0.5,0.0,1,0.0,-1
15113,10,3,3509.04,76,1169.68,2339.36,25.333333333333332,22.5,1,0.7395833333333334,-1
15159,2,30,18641.010000000002,363,621.3670000000001,1553.4175000000002,12.1,12.413793103448276,1,0.04084507042253521,-1
15189,2,41,16225.39,80,395.74121951219513,1470.57915407855,1.951219512195122,8.275,1,0.0,-1
15195,3,1,3861.0,1,3861.0,3861.0,1.0,0.0,1,0.0,-1
15311,1,90,60210.26,567,669.002888888889,4842.648257372654,6.3,4.191011235955056,1,0.04066073697585769,-1
15332,367,4,1661.06,29,415.265,1661.06,7.25,1.0,0,0.9714285714285714,-1
15427,34,3,1430.54,233,476.84666666666664,1430.54,77.66666666666667,7.0,1,1.0,-1
15464,339,1,1044.65,155,1044.65,1044.65,155.0,0.0,1,0.0,-1
15465,20,18,7354.62,43,408.59,630.3960000000001,2.388888888888889,20.58823529411765,1,0.8969072164948454,-1
15498,3,27,13316.4,360,493.2,1097.5054945054944,13.333333333333334,14.0,1,0.0,-1
15503,363,1,141.04,66,141.04,141.04,66.0,0.0,1,1.0,-1
15513,34,19,14758.22,183,776.7484210526316,1302.195882352941,9.631578947368421,18.88888888888889,1,0.17207792207792208,-1
15531,9,2,1972.39,196,986.195,1972.39,98.0,22.0,1,0.0,-1
15547,8,14,4910.6,441,350.75714285714287,414.9802816901408,31.5,27.307692307692307,1,0.8158273381294964,-1
15555,13,16,4791.87,400,299.491875,402.6781512605042,25.0,23.8,1,0.5977401129943503,-1
15640,5,15,12416.11,240,827.7406666666667,1012.1828804347825,16.0,26.285714285714285,1,0.2857142857142857,-1
15749,236,3,44534.3,5,14844.766666666668,13773.494845360825,1.6666666666666667,48.5,1,0.0,-1
15769,8,25,53328.72,19,2133.1488,4395.224175824176,0.76,15.166666666666666,1,0.008695652173913044,-1
15786,47,3,4919.0,257,1639.6666666666667,2170.1470588235293,85.66666666666667,34.0,1,0.0,-1
15808,307,4,3651.27,142,912.8175,1738.6999999999998,35.5,21.0,1,0.5743589743589743,-1
15838,12,19,33643.08,54,1770.6884210526316,2835.091011235955,2.8421052631578947,19.77777777777778,1,0.0,-1
15856,5,27,16142.380000000001,294,597.8659259259259,1341.472022160665,10.88888888888889,13.884615384615385,1,0.07974481658692185,-1
15880,370,1,299.03,94,299.03,299.03,94.0,0.0,1,1.0,-1
15947,83,1,1708.24,29,1708.24,1708.24,29.0,0.0,1,1.0,-1
15993,9,7,2768.97,334,395.5671428571428,2307.475,47.714285714285715,6.0,1,0.1918819188191882,-1
15998,37,5,3080.22,370,616.044,283.45582822085885,74.0,81.5,1,0.23412698412698413,-1
16000,3,3,12393.7,9,4131.233333333334,12393.7,3.0,0.0,1,0.0,-1
16013,4,47,37130.6,30,790.0127659574467,3026.9510869565215,0.6382978723404256,8.0,1,0.0,-1
16029,39,60,69926.49,42,1165.4415000000001,6262.073731343285,0.7,5.677966101694915,1,0.0,-1
16033,6,20,8743.12,538,437.15600000000006,720.5868131868133,26.9,19.157894736842106,1,0.385980479148181,-1
16049,41,3,1074.81,248,358.27,921.2657142857141,82.66666666666667,17.5,1,0.4983277591973244,-1
16133,4,33,14589.04,219,442.09212121212124,1389.432380952381,6.636363636363637,9.84375,1,0.07100591715976332,-1
16180,101,8,10254.18,90,1281.7725,2023.8513157894738,11.25,21.714285714285715,1,0.14814814814814814,-1
16210,2,17,21076.3,73,1239.7823529411764,1699.7016129032256,4.294117647058823,23.25,1,0.0,-1
16222,319,1,773.55,120,773.55,773.55,120.0,0.0,1,0.0,-1
16240,25,2,3718.8,126,1859.4,2104.981132075472,63.0,53.0,1,0.0,-1
16333,8,22,26626.8,9,1210.3090909090909,2645.046357615894,0.4090909090909091,14.380952380952381,1,0.0,-1
16360,5,6,3450.41,365,575.0683333333333,1232.2892857142858,60.833333333333336,16.8,1,0.2248427672955975,-1
16380,62,1,1743.1499999999999,28,1743.1499999999999,1743.1499999999999,28.0,0.0,1,1.0,-1
16422,18,51,34684.4,68,680.086274509804,2956.0568181818185,1.3333333333333333,7.04,1,0.08672086720867209,-1
