CustomerID,Cluster,Nombre_Cluster,Recency,Frequency,Monetary,UniqueProducts,AverageOrderValue,MonthlySpending,Products_Per_Order,PurchaseInterval,Is_UK,Weekend_Ratio
12347,3,Clientes de alto valor,3,7,4310.0,103,615.7142857142857,354.24657534246575,14.714285714285714,60.833333333333336,0,0.0
12348,0,Clientes estándar de bajo valor,76,4,1437.24,21,359.31,152.35759717314488,5.25,94.33333333333333,0,0.07407407407407407
12350,0,Clientes estándar de bajo valor,311,1,294.40000000000003,16,294.40000000000003,294.40000000000003,16.0,0.0,0,0.0
12352,0,Clientes estándar de bajo valor,37,7,1385.74,57,197.96285714285713,159.89307692307693,8.142857142857142,43.333333333333336,0,0.0
12353,0,Clientes estándar de bajo valor,205,1,89.0,4,89.0,89.0,4.0,0.0,0,0.0
12355,0,Clientes estándar de bajo valor,215,1,459.40000000000003,13,459.40000000000003,459.40000000000003,13.0,0.0,0,0.0
12356,0,Clientes estándar de bajo valor,23,3,2487.43,52,829.1433333333333,246.280198019802,17.333333333333332,151.5,0,0.0
12358,0,Clientes estándar de bajo valor,2,2,928.0600000000001,12,464.03000000000003,186.85771812080537,6.0,149.0,0,0.0
12360,0,Clientes estándar de bajo valor,53,3,2302.06,104,767.3533333333334,466.63378378378377,34.666666666666664,74.0,0,0.0
12361,0,Clientes estándar de bajo valor,288,1,174.9,9,174.9,174.9,9.0,0.0,0,0.0
12362,3,Clientes de alto valor,4,10,4737.2300000000005,200,473.72300000000007,486.7017123287672,20.0,32.44444444444444,0,0.0
12363,0,Clientes estándar de bajo valor,110,2,552.0,23,276.0,124.51127819548871,11.5,133.0,0,0.0
12364,2,Clientes activos de valor medio,8,4,1208.1,69,302.025,345.1714285714285,17.25,35.0,0,0.25925925925925924
12365,0,Clientes estándar de bajo valor,292,1,320.69,21,320.69,320.69,21.0,0.0,0,0.0
12367,0,Clientes estándar de bajo valor,5,1,150.9,10,150.9,150.9,10.0,0.0,0,0.0
12370,3,Clientes de alto valor,52,4,3421.94,142,855.485,332.2271844660194,35.5,103.0,0,0.0
12372,0,Clientes estándar de bajo valor,72,3,1196.04,33,398.68,159.472,11.0,112.5,0,0.0
12373,0,Clientes estándar de bajo valor,312,1,324.6,13,324.6,324.6,13.0,0.0,0,0.0
12374,0,Clientes estándar de bajo valor,26,1,622.9300000000001,32,622.9300000000001,622.9300000000001,32.0,0.0,0,0.0
12375,0,Clientes estándar de bajo valor,11,2,377.5,13,188.75,128.69318181818184,6.5,88.0,0,0.0
12379,0,Clientes estándar de bajo valor,82,2,777.24,38,388.62,261.99101123595506,19.0,89.0,0,0.0
12380,0,Clientes estándar de bajo valor,22,4,2427.81,76,606.9525,444.1115853658536,19.0,54.666666666666664,0,0.0
12381,0,Clientes estándar de bajo valor,5,3,1474.81,69,491.6033333333333,384.73304347826087,23.0,57.5,0,0.18292682926829268
12383,0,Clientes estándar de bajo valor,185,5,1628.56,83,325.712,290.81428571428575,16.6,42.0,0,0.0
12384,0,Clientes estándar de bajo valor,29,2,425.27000000000004,25,212.63500000000002,137.18387096774194,12.5,93.0,0,0.0
12386,0,Clientes estándar de bajo valor,338,2,401.9,10,200.95,401.9,5.0,29.0,0,0.0
12388,2,Clientes activos de valor medio,16,6,2780.6600000000003,57,463.4433333333334,268.2308681672026,9.5,62.2,0,0.22
12390,0,Clientes estándar de bajo valor,80,1,504.84000000000003,31,504.84000000000003,504.84000000000003,31.0,0.0,0,0.0
12391,0,Clientes estándar de bajo valor,22,1,439.66,92,439.66,439.66,92.0,0.0,0,0.0
12393,0,Clientes estándar de bajo valor,73,4,1582.6000000000001,47,395.65000000000003,182.60769230769233,11.75,86.66666666666667,0,0.0
12394,0,Clientes estándar de bajo valor,64,2,1080.48,25,540.24,210.48311688311688,12.5,154.0,0,0.0
12395,3,Clientes de alto valor,20,12,2682.63,90,223.5525,228.63323863636367,7.5,32.0,0,0.09722222222222222
12397,3,Clientes de alto valor,36,2,2214.9,109,1107.45,664.47,54.5,100.0,0,0.0
12399,0,Clientes estándar de bajo valor,120,4,1033.65,46,258.4125,218.3767605633803,11.5,47.333333333333336,0,0.0
12401,0,Clientes estándar de bajo valor,304,1,69.3,4,69.3,69.3,4.0,0.0,0,0.0
12402,0,Clientes estándar de bajo valor,324,1,195.6,10,195.6,195.6,10.0,0.0,0,0.0
12403,0,Clientes estándar de bajo valor,50,1,391.7,4,391.7,391.7,4.0,0.0,0,0.0
12407,2,Clientes activos de valor medio,50,5,1507.12,56,301.424,210.29581395348833,11.2,53.75,0,0.19444444444444445
12408,0,Clientes estándar de bajo valor,33,5,2618.55,80,523.71,344.54605263157896,16.0,57.0,0,0.0
12410,0,Clientes estándar de bajo valor,309,2,533.33,25,266.665,533.33,12.5,0.0,0,0.0
12412,0,Clientes estándar de bajo valor,75,3,1142.88,42,380.96000000000004,360.9094736842106,14.0,47.5,0,0.0
12413,0,Clientes estándar de bajo valor,67,3,686.1,28,228.70000000000002,75.95202952029521,9.333333333333334,135.5,0,0.1111111111111111
12414,0,Clientes estándar de bajo valor,218,3,442.41,15,147.47,142.71290322580646,5.0,46.5,0,0.0
12417,3,Clientes de alto valor,4,9,3226.1,157,358.4555555555555,273.39830508474574,17.444444444444443,44.25,0,0.12021857923497267
12418,0,Clientes estándar de bajo valor,113,1,668.58,34,668.58,668.58,34.0,0.0,0,0.0
12420,0,Clientes estándar de bajo valor,64,1,600.39,29,600.39,600.39,29.0,0.0,0,0.0
12421,2,Clientes activos de valor medio,16,4,639.04,31,159.76,63.06315789473684,7.75,101.33333333333333,0,0.3170731707317073
12422,0,Clientes estándar de bajo valor,96,3,683.5600000000001,38,227.85333333333335,89.54934497816595,12.666666666666666,114.5,0,0.0
12423,0,Clientes estándar de bajo valor,1,8,1634.31,96,204.28875,138.89320113314446,12.0,50.42857142857143,0,0.0
12424,3,Clientes de alto valor,163,2,1760.96,30,880.48,1760.96,15.0,0.0,0,0.0
12425,0,Clientes estándar de bajo valor,79,1,777.2,36,777.2,777.2,36.0,0.0,0,0.0
12426,1,Clientes de compra en fin de semana,195,1,510.73,29,510.73,510.73,29.0,0.0,0,1.0
12427,0,Clientes estándar de bajo valor,22,3,699.8000000000001,25,233.26666666666668,59.98285714285715,8.333333333333334,175.0,0,0.0
12429,3,Clientes de alto valor,10,4,3388.4,81,847.1,285.5393258426966,20.25,118.66666666666667,0,0.0
12430,0,Clientes estándar de bajo valor,44,1,216.4,10,216.4,216.4,10.0,0.0,0,0.0
12431,3,Clientes de alto valor,36,15,6314.95,162,420.99666666666667,560.4985207100591,10.8,24.142857142857142,0,0.12931034482758622
12432,3,Clientes de alto valor,43,4,4359.32,106,1089.83,1005.996923076923,26.5,43.333333333333336,0,0.0
12434,0,Clientes estándar de bajo valor,85,2,806.14,46,403.07,137.41022727272727,23.0,176.0,0,0.0
12436,0,Clientes estándar de bajo valor,100,1,429.01,15,429.01,429.01,15.0,0.0,0,0.0
12437,3,Clientes de alto valor,2,18,4447.41,117,247.07833333333332,404.31,6.5,19.41176470588235,0,0.0
