InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,InvoiceDay,InvoiceMonth,InvoiceYear,InvoiceHour,DayOfWeek,IsUk,TotalPrice,IsWeekend,Sales_Lag_1,Sales_Lag_7,Sales_Mean_7,Sales_Mean_30,Trend_Lag1_vs_Lag7,DailyTotal
C536383,35004C,SET OF 3 COLOURED  FLYING DUCKS,-1,2010-12-01,4.65,15311.0,United Kingdom,1,12,2010,9,2,1,-4.65,0,,,,,,-297.73
C536391,22556,PLASTERS IN TIN CIRCUS PARADE ,-12,2010-12-01,1.65,17548.0,United Kingdom,1,12,2010,10,2,1,-19.8,0,-4.65,,,,,-297.73
C536391,21984,PACK OF 12 PINK PAISLEY TISSUES ,-24,2010-12-01,0.29,17548.0,United Kingdom,1,12,2010,10,2,1,-6.959999999999999,0,-19.8,,,,,-297.73
C536391,21983,PACK OF 12 BLUE PAISLEY TISSUES ,-24,2010-12-01,0.29,17548.0,United Kingdom,1,12,2010,10,2,1,-6.959999999999999,0,-6.959999999999999,,,,,-297.73
C536391,21980,PACK OF 12 RED RETROSPOT TISSUES ,-24,2010-12-01,0.29,17548.0,United Kingdom,1,12,2010,10,2,1,-6.959999999999999,0,-6.959999999999999,,,,,-297.73
C536391,21484,CHICK GREY HOT WATER BOTTLE,-12,2010-12-01,3.45,17548.0,United Kingdom,1,12,2010,10,2,1,-41.400000000000006,0,-6.959999999999999,,,,,-297.73
C536391,22557,PLASTERS IN TIN VINTAGE PAISLEY ,-12,2010-12-01,1.65,17548.0,United Kingdom,1,12,2010,10,2,1,-19.8,0,-41.400000000000006,,-15.218571428571428,,,-297.73
C536391,22553,PLASTERS IN TIN SKULLS,-24,2010-12-01,1.65,17548.0,United Kingdom,1,12,2010,10,2,1,-39.6,0,-19.8,-4.65,-20.211428571428574,,-15.15,-297.73
C536506,22960,JAM MAKING SET WITH JARS,-6,2010-12-01,4.25,17897.0,United Kingdom,1,12,2010,12,2,1,-25.5,0,-39.6,-19.8,-21.025714285714287,,-19.8,-297.73
C536543,22632,HAND WARMER RED RETROSPOT,-1,2010-12-01,2.1,17841.0,United Kingdom,1,12,2010,14,2,1,-2.1,0,-25.5,-6.959999999999999,-20.33142857142857,,-18.54,-297.73
C536543,22355,CHARLOTTE BAG SUKI DESIGN,-2,2010-12-01,0.85,17841.0,United Kingdom,1,12,2010,14,2,1,-1.7,0,-2.1,-6.959999999999999,-19.580000000000005,,4.859999999999999,-297.73
C536548,22244,3 HOOK HANGER MAGIC GARDEN,-4,2010-12-01,1.95,12472.0,Germany,1,12,2010,14,2,0,-7.8,0,-1.7,-6.959999999999999,-19.7,,5.259999999999999,-297.73
C536548,22242,5 HOOK HANGER MAGIC TOADSTOOL,-5,2010-12-01,1.65,12472.0,Germany,1,12,2010,14,2,0,-8.25,0,-7.8,-41.400000000000006,-14.964285714285714,,33.60000000000001,-297.73
C536548,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,-1,2010-12-01,2.95,12472.0,Germany,1,12,2010,14,2,0,-2.95,0,-8.25,-19.8,-12.557142857142859,,11.55,-297.73
C536548,22892,SET OF SALT AND PEPPER TOADSTOOLS,-7,2010-12-01,1.25,12472.0,Germany,1,12,2010,14,2,0,-8.75,0,-2.95,-39.6,-8.15,,36.65,-297.73
C536548,22654,DELUXE SEWING KIT ,-1,2010-12-01,5.95,12472.0,Germany,1,12,2010,14,2,0,-5.95,0,-8.75,-25.5,-5.357142857142857,,16.75,-297.73
C536548,22767,TRIPLE PHOTO FRAME CORNICE ,-2,2010-12-01,9.95,12472.0,Germany,1,12,2010,14,2,0,-19.9,0,-5.95,-2.1,-7.8999999999999995,,-3.85,-297.73
C536548,22333,RETROSPOT PARTY BAG + STICKER SET,-1,2010-12-01,1.65,12472.0,Germany,1,12,2010,14,2,0,-1.65,0,-19.9,-1.7,-7.892857142857143,,-18.2,-297.73
C536548,22245,"HOOK, 1 HANGER ,MAGIC GARDEN",-2,2010-12-01,0.85,12472.0,Germany,1,12,2010,14,2,0,-1.7,0,-1.65,-7.8,-7.021428571428571,,6.15,-297.73
C536548,22077,6 RIBBONS RUSTIC CHARM,-6,2010-12-01,1.65,12472.0,Germany,1,12,2010,14,2,0,-9.9,0,-1.7,-8.25,-7.257142857142857,,6.55,-297.73
